sessionId,sampleIndex,emittedDeltas,promoted,gateRejected,resolverDropped,legacySchemaNoKind,factDedupCollapsed,matched,missed,falsePositive,latencyMs
kc-product-01,1,1,1,0,0,0,0,1,0,0,2175
kc-product-01,2,1,1,0,0,0,0,1,0,0,1887
kc-product-01,3,1,1,0,0,0,0,1,0,0,1961
kc-product-01,4,1,1,0,0,0,0,1,0,0,2152
kc-ratingBand-01,0,2,2,0,0,0,0,1,0,1,3036
kc-ratingBand-01,1,2,2,0,0,0,0,1,0,1,3000
kc-ratingBand-01,2,2,2,0,0,0,0,1,0,1,2901
kc-ratingBand-01,3,1,1,0,0,0,0,1,0,0,2203
kc-ratingBand-01,4,1,1,0,0,0,0,1,0,0,1970
kc-situation-01,0,1,1,0,1,0,0,0,1,0,2747
kc-situation-01,1,1,1,0,1,0,0,0,1,0,2781
kc-situation-01,2,1,1,0,1,0,0,0,1,0,2505
kc-situation-01,3,1,1,0,1,0,0,0,1,0,2651
kc-situation-01,4,1,1,0,1,0,0,0,1,0,2577
noise-account,0,0,0,0,0,0,0,0,0,0,2095
noise-account,1,0,0,0,0,0,0,0,0,0,1481
noise-account,2,0,0,0,0,0,0,0,0,0,2585
noise-account,3,0,0,0,0,0,0,0,0,0,2272
noise-account,4,0,0,0,0,0,0,0,0,0,1687
noise-cart-inquiry,0,0,0,0,0,0,0,0,0,0,959
noise-cart-inquiry,1,0,0,0,0,0,0,0,0,0,892
noise-cart-inquiry,2,0,0,0,0,0,0,0,0,0,778
noise-cart-inquiry,3,0,0,0,0,0,0,0,0,0,813
noise-cart-inquiry,4,0,0,0,0,0,0,0,0,0,965
noise-delivery-complaint,0,0,0,0,0,0,0,0,0,0,1130
noise-delivery-complaint,1,0,0,0,0,0,0,0,0,0,1113
noise-delivery-complaint,2,0,0,0,0,0,0,0,0,0,717
noise-delivery-complaint,3,0,0,0,0,0,0,0,0,0,894
noise-delivery-complaint,4,0,0,0,0,0,0,0,0,0,1045
noise-general-question,0,0,0,0,0,0,0,0,0,0,1717
noise-general-question,1,0,0,0,0,0,0,0,0,0,1716
noise-general-question,2,0,0,0,0,0,0,0,0,0,1845
noise-general-question,3,0,0,0,0,0,0,0,0,0,1844
noise-general-question,4,0,0,0,0,0,0,0,0,0,2590
noise-greeting,0,0,0,0,0,0,0,0,0,0,706
noise-greeting,1,0,0,0,0,0,0,0,0,0,658
noise-greeting,2,0,0,0,0,0,0,0,0,0,579
noise-greeting,3,0,0,0,0,0,0,0,0,0,720
noise-greeting,4,0,0,0,0,0,0,0,0,0,1050
noise-order-inquiry,0,0,0,0,0,0,0,0,0,0,916
noise-order-inquiry,1,0,0,0,0,0,0,0,0,0,944
noise-order-inquiry,2,0,0,0,0,0,0,0,0,0,893
noise-order-inquiry,3,0,0,0,0,0,0,0,0,0,949
noise-order-inquiry,4,0,0,0,0,0,0,0,0,0,939
noise-payment,0,0,0,0,0,0,0,0,0,0,793
noise-payment,1,0,0,0,0,0,0,0,0,0,645
noise-payment,2,0,0,0,0,0,0,0,0,0,844
noise-payment,3,0,0,0,0,0,0,0,0,0,2032
noise-payment,4,0,0,0,0,0,0,0,0,0,1714
noise-refund,0,0,0,0,0,0,0,0,0,0,4160
noise-refund,1,0,0,0,0,0,0,0,0,0,941
noise-refund,2,0,0,0,0,0,0,0,0,0,947
noise-refund,3,0,0,0,0,0,0,0,0,0,728
noise-refund,4,0,0,0,0,0,0,0,0,0,855
noise-shipping-policy,0,0,0,0,0,0,0,0,0,0,1413
noise-shipping-policy,1,0,0,0,0,0,0,0,0,0,597
noise-shipping-policy,2,0,0,0,0,0,0,0,0,0,905
noise-shipping-policy,3,0,0,0,0,0,0,0,0,0,644
noise-shipping-policy,4,0,0,0,0,0,0,0,0,0,912
noise-smalltalk,0,0,0,0,0,0,0,0,0,0,1044
noise-smalltalk,1,0,0,0,0,0,0,0,0,0,1932
noise-smalltalk,2,0,0,0,0,0,0,0,0,0,1743
noise-smalltalk,3,0,0,0,0,0,0,0,0,0,2505
noise-smalltalk,4,0,0,0,0,0,0,0,0,0,1317
pol-attribute-avoid,0,3,3,0,0,0,0,1,1,2,2486
pol-attribute-avoid,1,3,3,0,0,0,0,2,0,1,2372
pol-attribute-avoid,2,3,3,0,0,0,0,1,1,2,2604
pol-attribute-avoid,3,3,3,0,0,0,0,1,1,2,2382
pol-attribute-avoid,4,3,3,0,0,0,0,2,0,1,2315
pol-attribute-prefer,0,1,1,0,0,0,0,1,0,0,2191
pol-attribute-prefer,1,3,3,0,0,0,0,1,0,2,3757
pol-attribute-prefer,2,3,3,0,1,0,0,1,0,1,4287
pol-attribute-prefer,3,1,1,0,0,0,0,1,0,0,2489
pol-attribute-prefer,4,2,2,0,0,0,0,1,0,1,4080
pol-brand-avoid,0,2,1,1,0,0,0,1,0,0,5192
pol-brand-avoid,1,1,1,0,0,0,0,1,0,0,2236
pol-brand-avoid,2,2,2,0,0,0,0,1,0,1,3534
pol-brand-avoid,3,2,2,0,0,0,0,1,0,1,3136
pol-brand-avoid,4,1,1,0,0,0,0,1,0,0,3286
pol-brand-prefer,0,2,2,0,0,0,0,2,0,0,2674
pol-brand-prefer,1,2,2,0,0,0,0,2,0,0,2624
pol-brand-prefer,2,2,2,0,0,0,0,2,0,0,2774
pol-brand-prefer,3,2,2,0,0,0,0,2,0,0,2760
pol-brand-prefer,4,2,2,0,0,0,0,2,0,0,2775
rep-attribute-varied,0,2,2,0,0,0,0,1,0,1,2430
rep-attribute-varied,1,1,1,0,0,0,0,0,1,1,2306
rep-attribute-varied,2,2,2,0,0,0,0,1,0,1,2397
rep-attribute-varied,3,2,2,0,0,0,0,1,0,1,2858
rep-attribute-varied,4,1,1,0,0,0,0,0,1,1,2282
rep-category-varied,0,3,3,0,2,0,0,0,1,1,3880
rep-category-varied,1,3,3,0,2,0,0,0,1,1,3865
rep-category-varied,2,3,3,0,2,0,0,0,1,1,3497
rep-category-varied,3,3,3,0,2,0,0,0,1,1,2557
rep-category-varied,4,3,3,0,2,0,0,0,1,1,3627
rep-verbatim-repeat-cap,0,1,1,0,0,0,0,1,0,0,1413
rep-verbatim-repeat-cap,1,1,1,0,0,0,0,1,0,0,1658
rep-verbatim-repeat-cap,2,1,1,0,0,0,0,1,0,0,1699
rep-verbatim-repeat-cap,3,1,1,0,0,0,0,1,0,0,1715
rep-verbatim-repeat-cap,4,1,1,0,0,0,0,1,0,0,1361
